date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:24	240/240	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Mar%202023%2020:57:24%20GMT	https://ableproadmin.com/robots.txt		(from )
21:57:24	56803/56803	---M-Z	200	added ('OK')	text/html	etag:%22dde3-5f6dc0b2ac680-gzip%22	https://ableproadmin.com/bootstrap/stage/	C:/My%20Web%20Sites/crypto%20broker/ableproadmin.com/bootstrap/stage/index.html	(from )
21:57:25	3008/3008	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22641073d0-bc0%22	https://ableproadmin.com/bootstrap/stage/assets/images/favicon.svg	C:/My%20Web%20Sites/crypto%20broker/ableproadmin.com/bootstrap/stage/assets/images/favicon.svg	(from https://ableproadmin.com/bootstrap/stage/)
21:57:25	58129/58129	---MCZ	200	added ('OK')	text/css	etag:W/%22641073d3-e311%22	https://ableproadmin.com/bootstrap/stage/assets/css/plugins/animate.min.css	C:/My%20Web%20Sites/crypto%20broker/ableproadmin.com/bootstrap/stage/assets/css/plugins/animate.min.css	(from https://ableproadmin.com/bootstrap/stage/)
21:57:26	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/My%20Web%20Sites/crypto%20broker/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://ableproadmin.com/bootstrap/stage/)
21:57:28	411/411	---MCZ	200	added ('OK')	text/css	etag:W/%22641073d0-19b%22	https://ableproadmin.com/bootstrap/stage/assets/fonts/inter/inter.css	C:/My%20Web%20Sites/crypto%20broker/ableproadmin.com/bootstrap/stage/assets/fonts/inter/inter.css	(from https://ableproadmin.com/bootstrap/stage/)
21:57:28	61675/61675	---MCZ	200	added ('OK')	text/css	etag:W/%22641073d0-f0eb%22	https://ableproadmin.com/bootstrap/stage/assets/fonts/tabler-icons.min.css	C:/My%20Web%20Sites/crypto%20broker/ableproadmin.com/bootstrap/stage/assets/fonts/tabler-icons.min.css	(from https://ableproadmin.com/bootstrap/stage/)
21:57:29	13771/13771	---MCZ	200	added ('OK')	text/css	etag:W/%22641073d0-35cb%22	https://ableproadmin.com/bootstrap/stage/assets/fonts/feather.css	C:/My%20Web%20Sites/crypto%20broker/ableproadmin.com/bootstrap/stage/assets/fonts/feather.css	(from https://ableproadmin.com/bootstrap/stage/)
21:57:29	66175/66175	---MCZ	200	added ('OK')	text/css	etag:W/%22641073d0-1027f%22	https://ableproadmin.com/bootstrap/stage/assets/fonts/fontawesome.css	C:/My%20Web%20Sites/crypto%20broker/ableproadmin.com/bootstrap/stage/assets/fonts/fontawesome.css	(from https://ableproadmin.com/bootstrap/stage/)
21:57:29	538/538	---MCZ	200	added ('OK')	text/css	etag:W/%22641073d0-21a%22	https://ableproadmin.com/bootstrap/stage/assets/fonts/material.css	C:/My%20Web%20Sites/crypto%20broker/ableproadmin.com/bootstrap/stage/assets/fonts/material.css	(from https://ableproadmin.com/bootstrap/stage/)
21:57:32	2658579/2658579	---MCZ	200	added ('OK')	text/css	etag:W/%2264107400-289113%22	https://ableproadmin.com/bootstrap/stage/assets/css/style.css	C:/My%20Web%20Sites/crypto%20broker/ableproadmin.com/bootstrap/stage/assets/css/style.css	(from https://ableproadmin.com/bootstrap/stage/)
21:57:33	103290/103290	---MCZ	200	added ('OK')	text/css	etag:W/%22641073f5-1937a%22	https://ableproadmin.com/bootstrap/stage/assets/css/landing.css	C:/My%20Web%20Sites/crypto%20broker/ableproadmin.com/bootstrap/stage/assets/css/landing.css	(from https://ableproadmin.com/bootstrap/stage/)
21:57:34	131017/131017	---MCZ	200	added ('OK')	text/javascript	etag:W/%224448fb46050caa9b35634f93c0754da6%22	https://pt.wisernotify.com/pixel.js?ti=1jclj6jkfc4hhry	C:/My%20Web%20Sites/crypto%20broker/pt.wisernotify.com/pixel6d4c.js	(from https://ableproadmin.com/bootstrap/stage/)
21:57:34	56803/56803	---MCZ	200	added ('OK')	text/html	etag:W/%22641073d0-dde3%22	https://ableproadmin.com/bootstrap/stage/index.html	C:/My%20Web%20Sites/crypto%20broker/ableproadmin.com/bootstrap/stage/index-2.html	(from https://ableproadmin.com/bootstrap/stage/)
21:57:34	6199/6199	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22641073d0-1837%22	https://ableproadmin.com/bootstrap/stage/assets/images/logo-dark.svg	C:/My%20Web%20Sites/crypto%20broker/ableproadmin.com/bootstrap/stage/assets/images/logo-dark.svg	(from https://ableproadmin.com/bootstrap/stage/)
21:57:35	526412/526412	---MCZ	200	added ('OK')	text/css	etag:W/%22641073f7-8084c%22	https://ableproadmin.com/bootstrap/stage/assets/css/style-preset.css	C:/My%20Web%20Sites/crypto%20broker/ableproadmin.com/bootstrap/stage/assets/css/style-preset.css	(from https://ableproadmin.com/bootstrap/stage/)
21:57:35	108811/108811	---MCZ	200	added ('OK')	text/html	etag:W/%22641073d0-1a90b%22	https://ableproadmin.com/bootstrap/stage/dashboard/index.html	C:/My%20Web%20Sites/crypto%20broker/ableproadmin.com/bootstrap/stage/dashboard/index.html	(from https://ableproadmin.com/bootstrap/stage/)
